Date,UNH
9/14/2016 16:00:00,133.69
9/15/2016 16:00:00,135.61
9/16/2016 16:00:00,138.47
9/19/2016 16:00:00,137.68
9/20/2016 16:00:00,137.47
9/21/2016 16:00:00,139.91
9/22/2016 16:00:00,141.04
9/23/2016 16:00:00,140.51
9/26/2016 16:00:00,139.72
9/27/2016 16:00:00,140.79
9/28/2016 16:00:00,140.41
9/29/2016 16:00:00,138.32
9/30/2016 16:00:00,140
10/03/2016 16:00,138.49
10/04/2016 16:00,138.16
10/05/2016 16:00,137.6
10/06/2016 16:00,136.47
10/07/2016 16:00,136.66
10/10/2016 16:00,138.08
10/11/2016 16:00,134.75
10/12/2016 16:00,135.1
10/13/2016 16:00:00,134.19
10/14/2016 16:00:00,133.92
10/17/2016 16:00:00,134.13
10/18/2016 16:00:00,143.39
10/19/2016 16:00:00,144.37
10/20/2016 16:00:00,145.07
10/21/2016 16:00:00,145.37
10/24/2016 16:00:00,144.69
10/25/2016 16:00:00,143.78
10/26/2016 16:00:00,142.23
10/27/2016 16:00:00,141.94
10/28/2016 16:00:00,140.35
10/31/2016 16:00:00,141.33
11/01/2016 16:00,139.43
11/02/2016 16:00,138.98
11/03/2016 16:00,137.83
11/04/2016 16:00,137.71
11/07/2016 16:00,141.93
11/08/2016 16:00,142.9
11/09/2016 16:00,141.9
11/10/2016 16:00,146.13
11/11/2016 16:00,146.42
11/14/2016 16:00:00,152.28
11/15/2016 16:00:00,152.23
11/16/2016 16:00:00,151.5
11/17/2016 16:00:00,150.77
11/18/2016 16:00:00,149.45
11/21/2016 16:00:00,150.41
11/22/2016 16:00:00,152.26
11/23/2016 16:00:00,153.54
11/25/2016 16:00:00,152.81
11/28/2016 16:00:00,152.11
11/29/2016 16:00:00,157.59
11/30/2016 16:00:00,158.32
12/01/2016 16:00,160.94
12/02/2016 16:00,160.73
12/05/2016 16:00,157.63
12/06/2016 16:00,157.32
12/07/2016 16:00,159.4
12/08/2016 16:00,159.32
12/09/2016 16:00,160.12
12/12/2016 16:00,159.49
12/13/2016 16:00:00,160.54
12/14/2016 16:00:00,159.86
12/15/2016 16:00:00,160.62
12/16/2016 16:00:00,163.94
12/19/2016 16:00:00,161.54
12/20/2016 16:00:00,161.59
12/21/2016 16:00:00,161.33
12/22/2016 16:00:00,161.58
12/23/2016 16:00:00,163.03
12/27/2016 16:00:00,162.64
12/28/2016 16:00:00,161.44
12/29/2016 16:00:00,161.04
12/30/2016 16:00:00,160.04
1/03/2017 16:00,161.45
1/04/2017 16:00,161.91
1/05/2017 16:00,162.18
1/06/2017 16:00,162.41
1/09/2017 16:00,161.95
1/10/2017 16:00,161.58
1/11/2017 16:00,161.89
1/12/2017 16:00,162.36
1/13/2017 16:00:00,161.8
1/17/2017 16:00:00,160.66
1/18/2017 16:00:00,157.74
1/19/2017 16:00:00,158.7
1/20/2017 16:00:00,158.66
1/23/2017 16:00:00,159.07
1/24/2017 16:00:00,160.43
1/25/2017 16:00:00,161.24
1/26/2017 16:00:00,162.75
1/27/2017 16:00:00,162.99
1/30/2017 16:00:00,162.09
1/31/2017 16:00:00,162.1
2/01/2017 16:00,162.71
2/02/2017 16:00,160.76
2/03/2017 16:00,161.87
2/06/2017 16:00,160.51
2/07/2017 16:00,160.53
2/08/2017 16:00,160.31
2/09/2017 16:00,160.44
2/10/2017 16:00,160.75
2/13/2017 16:00:00,161.99
2/14/2017 16:00:00,163.13
2/15/2017 16:00:00,164.29
2/16/2017 16:00:00,163.65
2/17/2017 16:00:00,157.62
2/21/2017 16:00:00,160.57
2/22/2017 16:00:00,160.57
2/23/2017 16:00:00,162.6
2/24/2017 16:00:00,163.06
2/27/2017 16:00:00,165.38
2/28/2017 16:00:00,165.38
3/01/2017 16:00,167.94
3/02/2017 16:00,167.31
3/03/2017 16:00,168.2
3/06/2017 16:00,168.7
3/07/2017 16:00,168.3
3/08/2017 16:00,167.91
3/09/2017 16:00,168.01
3/10/2017 16:00,169.98
3/13/2017 16:00:00,170.21
3/14/2017 16:00:00,169.06
3/15/2017 16:00:00,171.78
3/16/2017 16:00:00,171.3
3/17/2017 16:00:00,169.7
3/20/2017 16:00:00,168
3/21/2017 16:00:00,167.7
3/22/2017 16:00:00,167.03
3/23/2017 16:00:00,165.29
3/24/2017 16:00:00,165
3/27/2017 16:00:00,164.6
3/28/2017 16:00:00,165.35
3/29/2017 16:00:00,163.44
3/30/2017 16:00:00,164.99
3/31/2017 16:00:00,164.01
4/03/2017 16:00,165.59
4/04/2017 16:00,164.97
4/05/2017 16:00,165.37
4/06/2017 16:00,165.34
4/07/2017 16:00,166.02
4/10/2017 16:00,165.48
4/11/2017 16:00,165.83
4/12/2017 16:00,165.56
4/13/2017 16:00:00,164.96
4/17/2017 16:00:00,167.18
4/18/2017 16:00:00,168.59
4/19/2017 16:00:00,169.25
4/20/2017 16:00:00,171.54
4/21/2017 16:00:00,171.16
4/24/2017 16:00:00,172.33
4/25/2017 16:00:00,174.04
4/26/2017 16:00:00,174.38
4/27/2017 16:00:00,174.63
4/28/2017 16:00:00,174.88
5/01/2017 16:00,174.59
5/02/2017 16:00,174.14
5/03/2017 16:00,172.54
5/04/2017 16:00,174.02
5/05/2017 16:00,174.12
5/08/2017 16:00,174.44
5/09/2017 16:00,173.24
5/10/2017 16:00,173.39
5/11/2017 16:00,173.32
5/12/2017 16:00,171.81
5/15/2017 16:00:00,171.53
5/16/2017 16:00:00,168.12
5/17/2017 16:00:00,168.86
5/18/2017 16:00:00,171.45
5/19/2017 16:00:00,172.59
5/22/2017 16:00:00,174.7
5/23/2017 16:00:00,175.22
5/24/2017 16:00:00,175.59
5/25/2017 16:00:00,178.05
5/26/2017 16:00:00,177.5
5/30/2017 16:00:00,176.59
5/31/2017 16:00:00,175.18
6/01/2017 16:00,179.58
6/02/2017 16:00,179.39
6/05/2017 16:00,179.37
6/06/2017 16:00,180.82
6/07/2017 16:00,183.21
6/08/2017 16:00,181.69
6/09/2017 16:00,181.46
6/12/2017 16:00,179.25
6/13/2017 16:00:00,181.05
6/14/2017 16:00:00,182.36
6/15/2017 16:00:00,180.38
6/16/2017 16:00:00,181.63
6/19/2017 16:00:00,183.02
6/20/2017 16:00:00,183.27
6/21/2017 16:00:00,184.92
6/22/2017 16:00:00,186.5
6/23/2017 16:00:00,185.25
6/26/2017 16:00:00,185.12
6/27/2017 16:00:00,184.6
6/28/2017 16:00:00,185.7
6/29/2017 16:00:00,185.27
6/30/2017 16:00:00,185.42
7/03/2017 16:00,186.65
7/05/2017 16:00,188.25
7/06/2017 16:00,186.94
7/07/2017 16:00,187.96
7/10/2017 16:00,186.95
7/11/2017 16:00,185.95
7/12/2017 16:00,186.69
7/13/2017 16:00:00,185.48
7/14/2017 16:00:00,186.9
7/17/2017 16:00:00,186.35
