Date,AMZN
17/10/2017,1009.13
18/10/2017,997
19/10/2017,986.61
20/10/2017,982.91
23/10/2017,966.3
24/10/2017,975.9
25/10/2017,972.91
26/10/2017,972.43
27/10/2017,1100.95
30/10/2017,1110.85
31/10/2017,1105.28
1/11/2017,1103.68
2/11/2017,1094.22
3/11/2017,1111.6
6/11/2017,1120.66
7/11/2017,1123.17
8/11/2017,1132.88
9/11/2017,1129.13
10/11/2017,1125.35
13/11/2017,1129.17
14/11/2017,1136.84
15/11/2017,1126.69
16/11/2017,1137.29
17/11/2017,1129.88
20/11/2017,1126.31
21/11/2017,1139.49
22/11/2017,1156.16
24/11/2017,1186
27/11/2017,1195.83
28/11/2017,1193.6
29/11/2017,1161.27
30/11/2017,1176.75
1/12/2017,1162.35
4/12/2017,1133.95
5/12/2017,1141.57
6/12/2017,1152.35
7/12/2017,1159.79
8/12/2017,1162
11/12/2017,1168.92
12/12/2017,1165.08
13/12/2017,1164.13
14/12/2017,1174.26
15/12/2017,1179.14
18/12/2017,1190.58
19/12/2017,1187.38
20/12/2017,1177.62
21/12/2017,1174.76
22/12/2017,1168.36
26/12/2017,1176.76
27/12/2017,1182.26
28/12/2017,1186.1
29/12/2017,1169.47
2/01/2018,1189.01
3/01/2018,1204.2
4/01/2018,1209.59
5/01/2018,1229.14
8/01/2018,1246.87
9/01/2018,1252.7
10/01/2018,1254.33
11/01/2018,1276.68
12/01/2018,1305.2
16/01/2018,1304.86
17/01/2018,1295
18/01/2018,1293.32
19/01/2018,1294.58
22/01/2018,1327.31
23/01/2018,1362.54
24/01/2018,1357.51
25/01/2018,1377.95
26/01/2018,1402.05
29/01/2018,1417.68
30/01/2018,1437.82
31/01/2018,1450.89
1/02/2018,1390
2/02/2018,1429.95
5/02/2018,1390
6/02/2018,1442.84
7/02/2018,1416.78
8/02/2018,1350.5
9/02/2018,1339.6
12/02/2018,1386.23
13/02/2018,1414.51
14/02/2018,1451.05
15/02/2018,1461.76
16/02/2018,1448.69
20/02/2018,1468.35
21/02/2018,1482.92
22/02/2018,1485.34
23/02/2018,1500
26/02/2018,1521.95
27/02/2018,1511.98
28/02/2018,1512.45
1/03/2018,1493.45
2/03/2018,1500.25
5/03/2018,1523.61
6/03/2018,1537.64
7/03/2018,1545
8/03/2018,1551.86
9/03/2018,1578.89
12/03/2018,1598.39
13/03/2018,1588.18
14/03/2018,1591
15/03/2018,1582.32
16/03/2018,1571.68
19/03/2018,1544.93
20/03/2018,1586.51
21/03/2018,1581.86
22/03/2018,1544.92
23/03/2018,1495.56
26/03/2018,1555.86
27/03/2018,1497.05
28/03/2018,1431.42
29/03/2018,1447.34
2/04/2018,1371.99
3/04/2018,1392.05
4/04/2018,1410.57
5/04/2018,1451.75
6/04/2018,1405.23
9/04/2018,1406.08
10/04/2018,1436.22
11/04/2018,1427.05
12/04/2018,1448.5
13/04/2018,1430.79
16/04/2018,1441.5
17/04/2018,1503.83
18/04/2018,1527.84
19/04/2018,1556.91
20/04/2018,1527.49
23/04/2018,1517.86
24/04/2018,1460.09
25/04/2018,1460.17
26/04/2018,1517.96
27/04/2018,1572.62
30/04/2018,1566.13
1/05/2018,1582.26
2/05/2018,1569.68
3/05/2018,1572.08
4/05/2018,1580.95
7/05/2018,1600.14
8/05/2018,1592.39
9/05/2018,1608
10/05/2018,1609.08
11/05/2018,1602.91
14/05/2018,1601.54
15/05/2018,1576.12
16/05/2018,1587.28
17/05/2018,1581.76
18/05/2018,1574.37
21/05/2018,1585.46
22/05/2018,1581.4
23/05/2018,1601.86
24/05/2018,1603.07
25/05/2018,1610.15
29/05/2018,1612.87
30/05/2018,1624.89
31/05/2018,1629.62
1/06/2018,1641.54
4/06/2018,1665.27
5/06/2018,1696.35
6/06/2018,1695.75
7/06/2018,1689.3
8/06/2018,1683.99
11/06/2018,1689.12
12/06/2018,1698.75
13/06/2018,1704.86
14/06/2018,1723.86
15/06/2018,1715.97
18/06/2018,1723.79
19/06/2018,1734.78
20/06/2018,1750.08
21/06/2018,1730.22
22/06/2018,1715.67
25/06/2018,1663.15
26/06/2018,1691.09
27/06/2018,1660.51
28/06/2018,1701.45
29/06/2018,1699.8
2/07/2018,1713.78
3/07/2018,1693.96
5/07/2018,1699.73
6/07/2018,1710.63
9/07/2018,1739.02
10/07/2018,1743.07
11/07/2018,1755
12/07/2018,1796.62
13/07/2018,1813.03
16/07/2018,1822.49
17/07/2018,1843.93
18/07/2018,1842.92
19/07/2018,1812.97
20/07/2018,1813.7
23/07/2018,1802
24/07/2018,1829.24
25/07/2018,1863.61
26/07/2018,1808
27/07/2018,1817.27
30/07/2018,1779.22
31/07/2018,1777.44
1/08/2018,1797.17
2/08/2018,1834.33
3/08/2018,1823.29
